localita,dt,type,value
Arezzo,2012-06-08,min,15
Arezzo,2012-06-08,max,31
Arezzo,2012-06-09,min,16
Arezzo,2012-06-09,max,27
Arezzo,2012-06-10,min,16
Arezzo,2012-06-10,max,27
Arezzo,2012-06-11,min,16
Arezzo,2012-06-11,max,27
Arezzo,2012-06-12,min,16
Arezzo,2012-06-12,max,24
Arezzo,2012-06-13,min,14
Arezzo,2012-06-13,max,27
Arezzo,2012-06-14,min,12
Arezzo,2012-06-14,max,28
Arezzo,2012-06-15,min,11
Arezzo,2012-06-15,max,33
Arezzo,2012-06-16,min,13
Arezzo,2012-06-16,max,36
Arezzo,2012-06-17,min,15
Arezzo,2012-06-17,max,37
Arezzo,2012-06-18,min,17
Arezzo,2012-06-18,max,37
Arezzo,2012-06-19,min,19
Arezzo,2012-06-19,max,39
Arezzo,2012-06-20,min,19
Arezzo,2012-06-20,max,38
Arezzo,2012-06-21,min,19
Arezzo,2012-06-21,max,36
Arezzo,2012-06-22,min,18
Arezzo,2012-06-22,max,34
Arezzo,2012-06-23,min,16
Arezzo,2012-06-23,max,34
Arezzo,2012-06-24,min,15
Arezzo,2012-06-24,max,37
Arezzo,2012-06-25,min,16
Arezzo,2012-06-25,max,34
Arezzo,2012-06-26,min,17
Arezzo,2012-06-26,max,36
Arezzo,2012-06-27,min,17
Arezzo,2012-06-27,max,36
Arezzo,2012-06-28,min,19
Arezzo,2012-06-28,max,36
Arezzo,2012-06-29,min,17
Arezzo,2012-06-29,max,37
Arezzo,2012-06-30,min,18
Arezzo,2012-06-30,max,38
Arezzo,2012-07-01,min,21
Arezzo,2012-07-01,max,39
Arezzo,2012-07-02,min,19
Arezzo,2012-07-02,max,38
Arezzo,2012-07-03,min,18
Arezzo,2012-07-03,max,34
Arezzo,2012-07-04,min,17
Arezzo,2012-07-04,max,35
Arezzo,2012-07-05,min,18
Arezzo,2012-07-05,max,36
Arezzo,2012-07-06,min,19
Arezzo,2012-07-06,max,35
Arezzo,2012-07-07,min,18
Arezzo,2012-07-07,max,35
