localita,dt,type,value
Andria,2012-05-07,min,14
Andria,2012-05-07,max,25
Andria,2012-05-08,min,13
Andria,2012-05-08,max,22
Andria,2012-05-09,min,12
Andria,2012-05-09,max,24
Andria,2012-05-10,min,14
Andria,2012-05-10,max,23
Andria,2012-05-11,min,13
Andria,2012-05-11,max,25
Andria,2012-05-12,min,16
Andria,2012-05-12,max,28
Andria,2012-05-13,min,14
Andria,2012-05-13,max,27
Andria,2012-05-14,min,12
Andria,2012-05-14,max,19
Andria,2012-05-15,min,11
Andria,2012-05-15,max,20
Andria,2012-05-16,min,10
Andria,2012-05-16,max,24
Andria,2012-05-17,min,8
Andria,2012-05-17,max,17
Andria,2012-05-18,min,12
Andria,2012-05-18,max,20
Andria,2012-05-19,min,8
Andria,2012-05-19,max,23
Andria,2012-05-20,min,11
Andria,2012-05-20,max,25
Andria,2012-05-21,min,14
Andria,2012-05-21,max,27
Andria,2012-05-22,min,12
Andria,2012-05-22,max,23
Andria,2012-05-23,min,11
Andria,2012-05-23,max,20
Andria,2012-05-24,min,13
Andria,2012-05-24,max,24
Andria,2012-05-25,min,15
Andria,2012-05-25,max,26
Andria,2012-05-26,min,14
Andria,2012-05-26,max,23
Andria,2012-05-27,min,13
Andria,2012-05-27,max,23
Andria,2012-05-28,min,13
Andria,2012-05-28,max,23
Andria,2012-05-29,min,12
Andria,2012-05-29,max,25
Andria,2012-05-30,min,11
Andria,2012-05-30,max,26
Andria,2012-05-31,min,12
Andria,2012-05-31,max,26
Andria,2012-06-01,min,14
Andria,2012-06-01,max,28
Andria,2012-06-02,min,15
Andria,2012-06-02,max,30
Andria,2012-06-03,min,16
Andria,2012-06-03,max,30
Andria,2012-06-04,min,16
Andria,2012-06-04,max,30
Andria,2012-06-05,min,16
Andria,2012-06-05,max,25
Andria,2012-06-06,min,14
Andria,2012-06-06,max,27
Andria,2012-06-07,min,16
Andria,2012-06-07,max,31
Andria,2012-06-08,min,18
Andria,2012-06-08,max,33
Andria,2012-06-09,min,19
Andria,2012-06-09,max,34
Andria,2012-06-10,min,20
Andria,2012-06-10,max,34
Andria,2012-06-11,min,20
Andria,2012-06-11,max,33
Andria,2012-06-12,min,18
Andria,2012-06-12,max,32
Andria,2012-06-13,min,20
Andria,2012-06-13,max,31
Andria,2012-06-14,min,17
Andria,2012-06-14,max,31
Andria,2012-06-15,min,15
Andria,2012-06-15,max,28
Andria,2012-06-16,min,17
Andria,2012-06-16,max,29
Andria,2012-06-17,min,18
Andria,2012-06-17,max,35
Andria,2012-06-18,min,20
Andria,2012-06-18,max,35
Andria,2012-06-19,min,20
Andria,2012-06-19,max,36
Andria,2012-06-20,min,21
Andria,2012-06-20,max,36
Andria,2012-06-21,min,21
Andria,2012-06-21,max,37
Andria,2012-06-22,min,23
Andria,2012-06-22,max,36
Andria,2012-06-23,min,23
Andria,2012-06-23,max,36
Andria,2012-06-24,min,23
Andria,2012-06-24,max,33
Andria,2012-06-25,min,22
Andria,2012-06-25,max,35
Andria,2012-06-26,min,22
Andria,2012-06-26,max,34
Andria,2012-06-27,min,22
Andria,2012-06-27,max,31
Andria,2012-06-28,min,20
Andria,2012-06-28,max,33
Andria,2012-06-29,min,18
Andria,2012-06-29,max,35
Andria,2012-06-30,min,21
Andria,2012-06-30,max,36
Andria,2012-07-01,min,22
Andria,2012-07-01,max,37
Andria,2012-07-02,min,22
Andria,2012-07-02,max,37
Andria,2012-07-03,min,23
Andria,2012-07-03,max,35
Andria,2012-07-04,min,23
Andria,2012-07-04,max,34
Andria,2012-07-05,min,22
Andria,2012-07-05,max,37
Andria,2012-07-06,min,21
Andria,2012-07-06,max,36
Andria,2012-07-07,min,22
Andria,2012-07-07,max,37
Andria,2012-07-08,min,22
Andria,2012-07-08,max,37
Andria,2012-07-09,min,23
Andria,2012-07-09,max,39
Andria,2012-07-10,min,24
Andria,2012-07-10,max,39
Andria,2012-07-11,min,24
Andria,2012-07-11,max,38
Andria,2012-07-12,min,23
Andria,2012-07-12,max,37
Andria,2012-07-13,min,23
Andria,2012-07-13,max,35
Andria,2012-07-14,min,22
Andria,2012-07-14,max,38
Andria,2012-07-15,min,24
